order_id,order_date,customer_id,city,state,zone,pincode,category,payment_mode,courier_partner,acquisition_channel,order_status,gross_order_value,discount_amount,delivery_fee_charged,product_cost,forward_shipping_cost,rto_shipping_cost,net_order_value,net_revenue,delivery_revenue,cogs_effective,shipping_cost,payment_cost,contribution_margin,is_loss,value_band
BB504425,2025-08-15,C110168,Kochi,Kerala,Tier2,110596,Haircare,COD,SwiftLogix,Organic,Delivered,519.0,82.0,49.0,277.0,109.0,0.0,437.0,437.0,49.0,277.0,109.0,25.0,75.0,False,300-499
BB514471,2025-12-17,C105058,Kochi,Kerala,Tier2,110610,Household Staples,COD,SwiftLogix,Meta Ads,Delivered,329.0,44.0,49.0,258.0,83.0,0.0,285.0,285.0,49.0,258.0,83.0,25.0,-32.0,True,Under 300
BB502727,2025-05-20,C113720,Jaipur,Rajasthan,Tier2,110498,Home Cleaning,COD,BharatShip,Referral,Delivered,611.0,37.0,0.0,455.0,65.0,0.0,574.0,574.0,0.0,455.0,65.0,25.0,29.0,False,500-699
BB507989,2025-11-30,C110362,Indore,Madhya Pradesh,Tier2,110652,Baby Care,Prepaid,SwiftLogix,Referral,Delivered,976.0,27.0,0.0,664.0,85.0,0.0,949.0,949.0,0.0,664.0,85.0,18.98,181.02,False,700-999
BB523691,2026-03-17,C108186,Chennai,Tamil Nadu,Metro,110400,Home Cleaning,COD,ZipEx,Meta Ads,Delivered,441.0,86.0,49.0,324.0,69.0,0.0,355.0,355.0,49.0,324.0,69.0,25.0,-14.0,True,300-499
BB527944,2025-12-30,C102214,Hyderabad,Telangana,Metro,110330,Skincare,Prepaid,SwiftLogix,Meta Ads,Delivered,712.0,83.0,0.0,316.0,64.0,0.0,629.0,629.0,0.0,316.0,64.0,12.58,236.42,False,500-699
BB509607,2025-09-11,C109607,Pune,Maharashtra,Tier2,110456,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,977.0,104.0,0.0,780.0,77.0,0.0,873.0,873.0,0.0,780.0,77.0,17.46,-1.46,True,700-999
BB531392,2026-03-13,C101998,Hyderabad,Telangana,Metro,110288,Home Cleaning,Prepaid,SwiftLogix,Influencer,Delivered,149.0,3.0,49.0,109.0,60.0,0.0,146.0,146.0,49.0,109.0,60.0,3.9,22.1,False,Under 300
BB514919,2026-01-23,C103942,Bengaluru,Karnataka,Metro,110078,Baby Care,Prepaid,SwiftLogix,Meta Ads,Delivered,586.0,68.0,0.0,333.0,61.0,0.0,518.0,518.0,0.0,333.0,61.0,10.36,113.64,False,500-699
BB533199,2025-05-21,C104688,Lucknow,Uttar Pradesh,Tier2,110533,Haircare,Prepaid,ZipEx,Organic,Delivered,491.0,163.0,49.0,241.0,101.0,0.0,328.0,328.0,49.0,241.0,101.0,7.54,27.46,False,300-499
BB516335,2025-10-24,C102573,Delhi,Delhi,Metro,110232,Household Staples,Prepaid,ZipEx,Organic,Delivered,490.0,82.0,49.0,399.0,54.0,0.0,408.0,408.0,49.0,399.0,54.0,9.14,-5.14,True,300-499
BB531853,2025-11-01,C102805,Bengaluru,Karnataka,Metro,110029,Household Staples,Prepaid,SwiftLogix,Meta Ads,Delivered,467.0,57.0,49.0,367.0,59.0,0.0,410.0,410.0,49.0,367.0,59.0,9.18,23.82,False,300-499
BB516730,2025-08-16,C114903,Hyderabad,Telangana,Metro,110337,Home Cleaning,Prepaid,SwiftLogix,Influencer,Delivered,803.0,110.0,0.0,589.0,63.0,0.0,693.0,693.0,0.0,589.0,63.0,13.86,27.14,False,500-699
BB507616,2025-07-03,C113294,Siliguri,West Bengal,Tier3,110771,Skincare,COD,BharatShip,Organic,Delivered,396.0,42.0,49.0,194.0,120.0,0.0,354.0,354.0,49.0,194.0,120.0,25.0,64.0,False,300-499
BB511869,2025-08-28,C110162,Pune,Maharashtra,Tier2,110442,Home Cleaning,Prepaid,SwiftLogix,Influencer,Delivered,279.0,18.0,49.0,207.0,99.0,0.0,261.0,261.0,49.0,207.0,99.0,6.2,-2.2,True,Under 300
BB522516,2025-10-26,C108222,Hyderabad,Telangana,Metro,110288,Baby Care,COD,ZipEx,Google Ads,Delivered,695.0,14.0,0.0,434.0,61.0,0.0,681.0,681.0,0.0,434.0,61.0,25.0,161.0,False,500-699
