customer_id,signup_date,acquisition_channel
C100000,2024-10-04,Google Ads
C100001,2025-01-05,Referral
C100002,2025-10-03,Referral
C100003,2025-11-04,Organic
C100004,2026-01-10,Influencer
C100005,2024-10-04,Meta Ads
C100006,2025-05-03,Meta Ads
C100007,2025-02-19,Meta Ads
C100008,2025-01-02,Google Ads
C100009,2025-07-05,Influencer
C100010,2026-02-12,Google Ads
C100011,2024-10-25,Google Ads
C100012,2024-11-24,Influencer
C100013,2025-12-27,Meta Ads
C100014,2025-03-23,Organic
C100015,2024-12-18,Referral
C100016,2025-10-20,Organic
C100017,2024-10-21,Organic
C100018,2025-07-03,Meta Ads
C100019,2025-11-04,Google Ads
C100020,2025-07-02,Meta Ads
C100021,2025-10-25,Google Ads
C100022,2024-12-20,Organic
C100023,2025-04-10,Meta Ads
C100024,2026-01-06,Organic
C100025,2025-04-11,Google Ads
C100026,2025-10-22,Organic
C100027,2025-01-11,Influencer
C100028,2024-12-18,Meta Ads
C100029,2024-11-19,Influencer
C100030,2025-11-25,Organic
C100031,2025-10-08,Meta Ads
C100032,2025-02-09,Influencer
C100033,2025-08-27,Meta Ads
C100034,2025-09-18,Referral
C100035,2024-11-28,Google Ads
C100036,2025-11-27,Organic
C100037,2026-01-03,Influencer
C100038,2025-09-22,Referral
C100039,2025-07-04,Influencer
C100040,2025-10-04,Meta Ads
C100041,2025-08-20,Influencer
C100042,2025-07-03,Organic
C100043,2025-12-08,Influencer
C100044,2026-01-07,Google Ads
C100045,2026-01-14,Influencer
C100046,2025-10-02,Organic
C100047,2025-08-21,Organic
C100048,2025-01-21,Organic
C100049,2025-08-22,Meta Ads
C100050,2025-11-07,Influencer
C100051,2024-10-24,Organic
C100052,2026-01-06,Meta Ads
C100053,2025-11-19,Meta Ads
C100054,2026-01-14,Google Ads
C100055,2025-01-17,Google Ads
C100056,2025-01-03,Meta Ads
C100057,2024-12-11,Organic
C100058,2025-07-08,Organic
C100059,2024-11-10,Meta Ads
C100060,2024-12-05,Organic
C100061,2025-02-09,Google Ads
C100062,2025-07-05,Meta Ads
C100063,2025-09-03,Influencer
C100064,2025-01-01,Organic
C100065,2025-01-15,Organic
C100066,2025-03-11,Influencer
C100067,2025-07-21,Meta Ads
C100068,2025-04-20,Meta Ads
C100069,2024-11-15,Meta Ads
C100070,2025-02-06,Organic
C100071,2025-07-18,Meta Ads
C100072,2025-04-06,Meta Ads
C100073,2024-10-09,Meta Ads
C100074,2025-03-13,Meta Ads
C100075,2024-11-01,Organic
C100076,2025-04-15,Referral
C100077,2025-05-19,Meta Ads
C100078,2024-12-12,Influencer
C100079,2025-09-04,Referral
C100080,2024-11-28,Organic
C100081,2026-02-06,Organic
C100082,2025-01-30,Influencer
C100083,2025-07-14,Google Ads
C100084,2024-11-23,Organic
C100085,2025-03-03,Referral
C100086,2025-03-12,Meta Ads
C100087,2026-01-21,Organic
C100088,2024-10-08,Influencer
C100089,2025-05-29,Influencer
C100090,2025-12-02,Google Ads
C100091,2026-01-15,Organic
C100092,2025-09-17,Meta Ads
C100093,2025-07-03,Referral
C100094,2025-09-05,Referral
C100095,2025-11-29,Google Ads
C100096,2024-12-09,Influencer
C100097,2025-02-19,Google Ads
C100098,2025-10-21,Google Ads
C100099,2025-09-17,Meta Ads
C100100,2025-02-16,Meta Ads
C100101,2025-06-16,Google Ads
C100102,2024-12-15,Meta Ads
C100103,2026-01-26,Google Ads
C100104,2025-02-05,Influencer
C100105,2025-09-22,Google Ads
C100106,2024-12-29,Referral
C100107,2024-10-05,Google Ads
C100108,2024-11-22,Google Ads
C100109,2025-02-06,Organic
C100110,2025-06-27,Meta Ads
C100111,2025-08-02,Referral
C100112,2024-11-28,Google Ads
C100113,2024-10-12,Organic
C100114,2025-09-01,Meta Ads
C100115,2025-07-17,Meta Ads
C100116,2025-09-04,Organic
C100117,2025-04-01,Referral
C100118,2025-05-08,Google Ads
C100119,2025-09-09,Meta Ads
C100120,2024-11-03,Influencer
C100121,2024-12-14,Google Ads
C100122,2025-08-26,Google Ads
C100123,2026-01-11,Influencer
C100124,2025-02-19,Influencer
C100125,2025-06-29,Organic
C100126,2025-04-07,Referral
C100127,2025-01-06,Google Ads
C100128,2024-11-14,Referral
C100129,2024-12-28,Google Ads
C100130,2026-02-12,Influencer
C100131,2025-02-27,Meta Ads
C100132,2025-05-08,Google Ads
C100133,2025-07-22,Google Ads
C100134,2024-10-14,Google Ads
C100135,2025-12-26,Influencer
C100136,2024-12-24,Referral
C100137,2025-08-04,Referral
C100138,2025-07-23,Referral
C100139,2025-01-31,Influencer
C100140,2025-10-10,Google Ads
C100141,2025-09-09,Meta Ads
C100142,2025-04-09,Organic
C100143,2025-11-11,Meta Ads
C100144,2025-05-19,Meta Ads
C100145,2025-11-21,Meta Ads
C100146,2025-07-02,Google Ads
C100147,2025-01-26,Organic
C100148,2024-12-14,Google Ads
C100149,2025-02-11,Organic
C100150,2024-12-04,Influencer
C100151,2025-11-16,Meta Ads
C100152,2024-10-12,Google Ads
C100153,2025-05-05,Organic
C100154,2025-04-02,Meta Ads
C100155,2025-12-04,Google Ads
C100156,2026-02-01,Organic
C100157,2025-03-10,Organic
C100158,2025-06-19,Meta Ads
C100159,2026-02-01,Organic
C100160,2026-01-10,Influencer
C100161,2025-09-17,Meta Ads
C100162,2024-11-22,Meta Ads
C100163,2024-11-11,Meta Ads
C100164,2026-01-07,Meta Ads
C100165,2024-12-24,Organic
C100166,2025-10-14,Referral
C100167,2025-09-11,Influencer
C100168,2025-08-14,Organic
C100169,2025-03-27,Meta Ads
C100170,2025-07-28,Meta Ads
C100171,2026-02-01,Google Ads
C100172,2025-08-27,Meta Ads
C100173,2026-01-26,Organic
C100174,2024-11-10,Meta Ads
C100175,2025-07-24,Organic
C100176,2026-01-31,Google Ads
C100177,2025-05-19,Organic
C100178,2025-07-07,Google Ads
C100179,2025-05-07,Meta Ads
C100180,2024-10-28,Google Ads
C100181,2025-01-12,Google Ads
C100182,2026-01-17,Influencer
C100183,2024-10-19,Meta Ads
