order_id,courier_partner,forward_shipping_cost,rto_shipping_cost,delivery_attempts
BB500000,BharatShip,119.0,0.0,1
BB500001,SwiftLogix,71.0,0.0,1
BB500002,BharatShip,76.0,0.0,1
BB500003,BharatShip,78.0,0.0,1
BB500004,SwiftLogix,66.0,0.0,1
BB500005,ZipEx,77.0,0.0,1
BB500006,SwiftLogix,140.0,0.0,1
BB500007,SwiftLogix,53.0,0.0,1
BB500008,SwiftLogix,100.0,0.0,1
BB500009,SwiftLogix,66.0,0.0,1
BB500010,SwiftLogix,57.0,0.0,1
BB500011,BharatShip,63.0,0.0,1
BB500012,ZipEx,100.0,0.0,1
BB500013,SwiftLogix,100.0,0.0,1
BB500014,SwiftLogix,89.0,0.0,1
BB500015,SwiftLogix,49.0,0.0,1
BB500016,ZipEx,96.0,0.0,1
BB500017,SwiftLogix,55.0,0.0,0
BB500018,SwiftLogix,76.0,0.0,1
BB500019,BharatShip,111.0,0.0,1
BB500020,SwiftLogix,93.0,0.0,1
BB500021,SwiftLogix,60.0,0.0,1
BB500022,SwiftLogix,39.0,0.0,1
BB500023,BharatShip,100.0,0.0,1
BB500024,SwiftLogix,70.0,0.0,1
BB500025,SwiftLogix,56.0,0.0,1
BB500026,ZipEx,56.0,0.0,1
BB500027,SwiftLogix,61.0,0.0,2
BB500028,BharatShip,100.0,0.0,1
BB500029,SwiftLogix,48.0,0.0,1
BB500030,SwiftLogix,76.0,0.0,1
BB500031,BharatShip,66.0,0.0,1
BB500032,SwiftLogix,64.0,0.0,1
BB500033,BharatShip,73.0,0.0,1
BB500034,ZipEx,76.0,0.0,1
BB500035,SwiftLogix,68.0,0.0,1
BB500036,SwiftLogix,75.0,0.0,1
BB500037,BharatShip,81.0,0.0,1
BB500038,ZipEx,74.0,0.0,1
BB500039,SwiftLogix,74.0,0.0,1
BB500040,BharatShip,55.0,0.0,0
BB500041,ZipEx,55.0,0.0,1
BB500042,BharatShip,109.0,0.0,1
BB500043,SwiftLogix,54.0,0.0,1
BB500044,SwiftLogix,71.0,0.0,1
BB500045,ZipEx,89.0,0.0,1
BB500046,ZipEx,66.0,0.0,1
BB500047,SwiftLogix,69.0,0.0,1
BB500048,BharatShip,110.0,170.0,3
BB500049,ZipEx,62.0,0.0,1
BB500050,SwiftLogix,89.0,0.0,1
BB500051,ZipEx,72.0,0.0,1
BB500052,SwiftLogix,68.0,0.0,1
BB500053,ZipEx,53.0,0.0,1
BB500054,ZipEx,65.0,0.0,1
BB500055,BharatShip,109.0,0.0,1
BB500056,BharatShip,76.0,0.0,1
BB500057,BharatShip,139.0,0.0,2
BB500058,SwiftLogix,59.0,0.0,1
BB500059,ZipEx,85.0,0.0,1
BB500060,BharatShip,82.0,0.0,1
BB500061,BharatShip,74.0,0.0,1
BB500062,SwiftLogix,47.0,0.0,1
BB500063,ZipEx,86.0,0.0,2
BB500064,BharatShip,79.0,0.0,1
BB500065,BharatShip,99.0,0.0,1
BB500066,BharatShip,56.0,0.0,1
BB500067,SwiftLogix,58.0,0.0,2
BB500068,BharatShip,120.0,0.0,1
BB500069,SwiftLogix,68.0,0.0,1
BB500070,BharatShip,118.0,0.0,2
BB500071,ZipEx,91.0,141.0,2
BB500072,SwiftLogix,49.0,0.0,1
BB500073,SwiftLogix,62.0,0.0,1
BB500074,ZipEx,72.0,112.0,2
BB500075,SwiftLogix,72.0,0.0,1
BB500076,SwiftLogix,60.0,0.0,1
BB500077,ZipEx,55.0,0.0,1
BB500078,SwiftLogix,54.0,0.0,1
BB500079,BharatShip,116.0,0.0,1
BB500080,BharatShip,67.0,104.0,2
BB500081,BharatShip,94.0,0.0,1
BB500082,ZipEx,62.0,0.0,1
BB500083,ZipEx,63.0,0.0,1
BB500084,SwiftLogix,62.0,0.0,1
BB500085,ZipEx,76.0,0.0,1
BB500086,SwiftLogix,87.0,0.0,1
BB500087,SwiftLogix,68.0,0.0,1
BB500088,SwiftLogix,73.0,0.0,1
BB500089,BharatShip,89.0,0.0,1
BB500090,SwiftLogix,63.0,0.0,1
BB500091,ZipEx,80.0,0.0,2
BB500092,SwiftLogix,63.0,98.0,2
BB500093,ZipEx,74.0,0.0,1
BB500094,SwiftLogix,56.0,0.0,1
BB500095,ZipEx,97.0,0.0,1
BB500096,BharatShip,58.0,0.0,2
BB500097,BharatShip,83.0,0.0,1
BB500098,ZipEx,53.0,0.0,1
BB500099,ZipEx,63.0,0.0,1
BB500100,BharatShip,140.0,0.0,1
BB500101,BharatShip,66.0,0.0,2
BB500102,SwiftLogix,92.0,0.0,1
BB500103,BharatShip,87.0,0.0,1
BB500104,ZipEx,47.0,0.0,1
BB500105,SwiftLogix,68.0,0.0,1
BB500106,SwiftLogix,55.0,0.0,0
BB500107,ZipEx,56.0,0.0,1
BB500108,ZipEx,121.0,0.0,1
BB500109,SwiftLogix,70.0,0.0,1
BB500110,ZipEx,118.0,0.0,1
BB500111,BharatShip,123.0,0.0,1
BB500112,BharatShip,72.0,0.0,1
BB500113,BharatShip,67.0,0.0,1
BB500114,ZipEx,53.0,0.0,1
BB500115,ZipEx,54.0,0.0,2
BB500116,SwiftLogix,70.0,0.0,1
BB500117,BharatShip,117.0,0.0,1
BB500118,BharatShip,115.0,0.0,1
BB500119,ZipEx,60.0,0.0,1
BB500120,BharatShip,96.0,0.0,1
BB500121,SwiftLogix,53.0,0.0,1
BB500122,ZipEx,64.0,99.0,3
BB500123,SwiftLogix,89.0,0.0,1
BB500124,ZipEx,85.0,0.0,1
BB500125,SwiftLogix,55.0,0.0,0
BB500126,BharatShip,111.0,172.0,2
BB500127,SwiftLogix,65.0,0.0,1
BB500128,ZipEx,78.0,0.0,1
BB500129,BharatShip,109.0,0.0,2
BB500130,SwiftLogix,61.0,0.0,1
BB500131,ZipEx,45.0,0.0,1
BB500132,SwiftLogix,77.0,0.0,1
BB500133,SwiftLogix,87.0,0.0,1
BB500134,SwiftLogix,69.0,0.0,2
BB500135,ZipEx,61.0,0.0,2
BB500136,SwiftLogix,66.0,102.0,2
BB500137,ZipEx,72.0,0.0,1
BB500138,BharatShip,145.0,0.0,1
BB500139,BharatShip,53.0,0.0,1
BB500140,SwiftLogix,80.0,0.0,1
BB500141,SwiftLogix,63.0,0.0,1
BB500142,SwiftLogix,63.0,0.0,2
BB500143,BharatShip,84.0,130.0,3
BB500144,SwiftLogix,64.0,0.0,1
BB500145,BharatShip,77.0,119.0,2
BB500146,BharatShip,98.0,0.0,1
BB500147,BharatShip,63.0,0.0,1
BB500148,BharatShip,125.0,0.0,1
BB500149,SwiftLogix,73.0,0.0,1
BB500150,SwiftLogix,62.0,0.0,1
BB500151,SwiftLogix,69.0,0.0,1
BB500152,SwiftLogix,110.0,0.0,1
BB500153,SwiftLogix,58.0,0.0,1
BB500154,BharatShip,65.0,0.0,1
BB500155,ZipEx,65.0,0.0,1
BB500156,BharatShip,78.0,0.0,1
BB500157,ZipEx,131.0,0.0,1
BB500158,SwiftLogix,88.0,0.0,1
BB500159,ZipEx,69.0,0.0,2
BB500160,SwiftLogix,85.0,0.0,1
BB500161,BharatShip,82.0,127.0,2
BB500162,SwiftLogix,70.0,0.0,1
BB500163,SwiftLogix,57.0,0.0,1
BB500164,SwiftLogix,53.0,0.0,1
BB500165,SwiftLogix,67.0,0.0,2
BB500166,ZipEx,53.0,0.0,1
BB500167,ZipEx,65.0,0.0,1
BB500168,BharatShip,112.0,0.0,1
BB500169,SwiftLogix,65.0,0.0,1
BB500170,SwiftLogix,65.0,0.0,1
BB500171,BharatShip,115.0,0.0,1
BB500172,ZipEx,67.0,0.0,1
BB500173,ZipEx,57.0,0.0,2
BB500174,SwiftLogix,61.0,0.0,1
BB500175,SwiftLogix,91.0,0.0,1
BB500176,ZipEx,68.0,0.0,1
BB500177,ZipEx,56.0,0.0,1
BB500178,SwiftLogix,50.0,0.0,1
BB500179,BharatShip,88.0,136.0,2
BB500180,BharatShip,149.0,0.0,2
BB500181,SwiftLogix,113.0,0.0,1
BB500182,SwiftLogix,76.0,0.0,1
BB500183,SwiftLogix,76.0,0.0,1
BB500184,ZipEx,72.0,0.0,2
BB500185,SwiftLogix,101.0,0.0,1
BB500186,SwiftLogix,76.0,0.0,1
BB500187,BharatShip,139.0,0.0,1
BB500188,SwiftLogix,38.0,0.0,1
BB500189,BharatShip,143.0,0.0,1
BB500190,SwiftLogix,103.0,0.0,1
BB500191,SwiftLogix,80.0,0.0,1
BB500192,BharatShip,69.0,0.0,1
BB500193,BharatShip,68.0,0.0,1
BB500194,SwiftLogix,68.0,0.0,1
BB500195,BharatShip,100.0,0.0,1
BB500196,BharatShip,62.0,0.0,1
BB500197,ZipEx,70.0,0.0,1
BB500198,ZipEx,46.0,0.0,2
BB500199,BharatShip,114.0,0.0,1
BB500200,SwiftLogix,78.0,0.0,1
BB500201,SwiftLogix,97.0,0.0,1
BB500202,BharatShip,115.0,0.0,1
BB500203,SwiftLogix,72.0,0.0,1
BB500204,BharatShip,69.0,0.0,2
BB500205,SwiftLogix,87.0,0.0,1
