order_id,customer_id,order_date,pincode,category,payment_mode,gross_order_value,discount_amount,delivery_fee_charged,product_cost,order_status
BB504425,C110168,2025-08-15,110596.0,Haircare,COD,519.0,82.0,49.0,277.0,Delivered
BB500901,C114168,2025-10-17,,Skincare,Prepaid,972.0,129.0,0.0,466.0,Delivered
BB514471,C105058,2025-12-17,110610.0,Household Staples,COD,329.0,44.0,49.0,258.0,Delivered
BB502727,C113720,2025-05-20,110498.0,Home Cleaning,COD,611.0,37.0,0.0,455.0,Delivered
BB507989,C110362,2025-11-30,110652.0,Baby Care,Prepaid,976.0,27.0,0.0,664.0,Delivered
BB523691,C108186,2026-03-17,110400.0,Home Cleaning,COD,441.0,86.0,49.0,324.0,Delivered
BB527944,C102214,2025-12-30,110330.0,Skincare,Prepaid,712.0,83.0,0.0,316.0,Delivered
BB509607,C109607,2025-09-11,110456.0,Home Cleaning,Prepaid,977.0,104.0,0.0,780.0,Delivered
BB531392,C101998,2026-03-13,110288.0,Home Cleaning,Prepaid,149.0,3.0,49.0,109.0,Delivered
BB514919,C103942,2026-01-23,110078.0,Baby Care,Prepaid,586.0,68.0,0.0,333.0,Delivered
BB533199,C104688,2025-05-21,110533.0,Haircare,Prepaid,491.0,163.0,49.0,241.0,Delivered
BB516335,C102573,2025-10-24,110232.0,Household Staples,Prepaid,490.0,82.0,49.0,399.0,Delivered
BB531853,C102805,2025-11-01,110029.0,Household Staples,Prepaid,467.0,57.0,49.0,367.0,Delivered
BB516730,C114903,2025-08-16,110337.0,Home Cleaning,Prepaid,803.0,110.0,0.0,589.0,Delivered
BB507616,C113294,2025-07-03,110771.0,Skincare,COD,396.0,42.0,49.0,194.0,Delivered
BB511869,C110162,2025-08-28,110442.0,Home Cleaning,Prepaid,279.0,18.0,49.0,207.0,Delivered
BB522516,C108222,2025-10-26,110288.0,Baby Care,COD,695.0,14.0,0.0,434.0,Delivered
BB525735,C115603,2025-06-19,110547.0,Skincare,COD,896.0,96.0,0.0,386.0,Delivered
BB526011,C105737,2025-11-03,110498.0,Skincare,COD,539.0,110.0,49.0,258.0,Delivered
BB508971,C115088,2025-12-30,110218.0,Home Cleaning,Prepaid,221.0,12.0,49.0,154.0,Delivered
BB531628,C101158,2025-12-21,110274.0,Home Cleaning,COD,452.0,66.0,49.0,318.0,Delivered
BB502549,C112552,2025-07-09,110022.0,Home Cleaning,COD,524.0,92.0,49.0,344.0,Delivered
BB529516,C109794,2025-09-19,110288.0,Home Cleaning,Prepaid,149.0,20.0,49.0,106.0,RTO
BB505695,C114928,2025-07-13,110526.0,Home Cleaning,Prepaid,467.0,111.0,49.0,356.0,Delivered
BB518144,C107443,2025-06-09,110169.0,Home Cleaning,Prepaid,149.0,37.0,49.0,108.0,Delivered
BB501289,C107532,2025-10-30,110435.0,Skincare,COD,705.0,42.0,0.0,300.0,Delivered
BB502854,C105606,2025-08-25,110078.0,Skincare,Prepaid,976.0,94.0,0.0,394.0,Delivered
BB510322,C104823,2026-01-12,110764.0,Home Cleaning,COD,276.0,19.0,49.0,203.0,Delivered
BB529865,C103771,2025-11-15,110575.0,Home Cleaning,COD,383.0,13.0,49.0,260.0,Delivered
BB527567,C101291,2026-01-27,110001.0,Skincare,COD,707.0,103.0,0.0,327.0,Delivered
BB538026,C101473,2025-08-16,110148.0,Skincare,Prepaid,575.0,95.0,49.0,255.0,Delivered
BB514669,C100081,2025-06-23,110477.0,Household Staples,Prepaid,269.0,14.0,49.0,231.0,Delivered
BB517368,C102429,2025-11-16,110428.0,Home Cleaning,COD,717.0,109.0,0.0,510.0,Delivered
BB510173,C109263,2026-03-14,110351.0,Household Staples,COD,572.0,160.0,49.0,478.0,Delivered
BB528771,C112719,2025-07-23,110064.0,Household Staples,COD,245.0,29.0,49.0,200.0,Delivered
BB527942,C111607,2025-07-08,110351.0,Skincare,COD,994.0,69.0,0.0,532.0,Delivered
BB525745,C107229,2025-11-25,110337.0,Household Staples,COD,417.0,65.0,49.0,352.0,Delivered
BB526267,C113383,2025-12-03,110134.0,Baby Care,COD,1055.0,185.0,0.0,674.0,Delivered
BB515195,C115177,2025-10-24,110561.0,Home Cleaning,COD,487.0,61.0,49.0,369.0,Delivered
BB514537,C109124,2025-07-15,110638.0,Household Staples,COD,385.0,47.0,49.0,292.0,Delivered
BB528982,C109287,2025-09-17,110841.0,Home Cleaning,COD,818.0,31.0,0.0,545.0,Delivered
BB514635,C100485,2025-09-04,110498.0,Haircare,Prepaid,440.0,57.0,49.0,225.0,Delivered
BB517383,C103659,2026-02-11,110225.0,Household Staples,Prepaid,243.0,27.0,49.0,189.0,Delivered
BB527107,C103783,2026-03-20,110505.0,Household Staples,COD,587.0,13.0,0.0,489.0,Delivered
BB532291,C111508,2025-09-20,110407.0,Haircare,COD,793.0,142.0,0.0,471.0,Delivered
BB516430,C110054,2025-09-26,110043.0,Skincare,Prepaid,772.0,128.0,0.0,336.0,Delivered
BB514831,C108082,2025-12-11,110414.0,Skincare,Prepaid,354.0,13.0,49.0,160.0,Delivered
BB517917,C112379,2025-09-29,110722.0,Skincare,COD,567.0,27.0,0.0,251.0,Delivered
BB534796,C115431,2025-07-01,110624.0,Household Staples,Prepaid,689.0,60.0,0.0,551.0,Delivered
BB539931,C113498,2026-01-31,110218.0,Baby Care,Prepaid,773.0,129.0,0.0,486.0,Delivered
BB537067,C107062,2026-02-03,110491.0,Home Cleaning,COD,434.0,64.0,49.0,326.0,Delivered
BB516812,C100016,2025-08-16,110708.0,Baby Care,COD,1286.0,134.0,0.0,777.0,RTO
BB519426,C105502,2025-09-17,110596.0,Haircare,COD,504.0,94.0,49.0,254.0,Delivered
BB502506,C112243,2026-01-21,110729.0,Household Staples,COD,331.0,46.0,49.0,276.0,Delivered
BB501290,C115393,2026-03-16,110197.0,Home Cleaning,Prepaid,509.0,61.0,49.0,386.0,Delivered
BB537412,C103951,2025-04-27,110715.0,Baby Care,COD,982.0,60.0,0.0,606.0,Delivered
BB529303,C103122,2026-03-11,110001.0,Haircare,Prepaid,328.0,11.0,49.0,176.0,Delivered
BB529159,C106278,2025-09-12,110652.0,Skincare,COD,1980.0,455.0,0.0,814.0,Delivered
BB516606,C106180,2025-12-22,110323.0,Home Cleaning,Prepaid,379.0,52.0,49.0,282.0,Delivered
BB521053,C103339,2025-07-20,110295.0,Household Staples,COD,173.0,38.0,49.0,133.0,Delivered
BB539853,C113205,2025-04-22,110589.0,Home Cleaning,COD,486.0,30.0,49.0,346.0,RTO
BB537579,C107478,2025-09-14,110001.0,Baby Care,Prepaid,764.0,52.0,0.0,457.0,Delivered
BB516316,C103433,2025-05-20,110078.0,Skincare,COD,1307.0,133.0,0.0,596.0,Delivered
BB505281,C104099,2025-06-22,110358.0,Haircare,Prepaid,436.0,29.0,49.0,208.0,Delivered
BB500480,C108493,2025-10-17,110505.0,Baby Care,Prepaid,1426.0,180.0,0.0,936.0,Delivered
BB506934,C113615,2026-02-28,110596.0,Home Cleaning,Prepaid,639.0,191.0,49.0,426.0,Delivered
BB531470,C104742,2026-03-19,110407.0,Haircare,Prepaid,1092.0,332.0,0.0,531.0,Delivered
BB526663,C105897,2025-06-02,110344.0,Haircare,COD,661.0,155.0,0.0,350.0,Delivered
BB506135,C107387,2025-11-06,110428.0,Household Staples,Prepaid,713.0,169.0,0.0,555.0,Delivered
BB510727,C107373,2025-12-14,110694.0,Skincare,COD,939.0,43.0,0.0,391.0,Delivered
BB526637,C105424,2025-05-14,,Household Staples,COD,709.0,178.0,0.0,576.0,Delivered
BB514059,C103951,2026-03-11,110624.0,Home Cleaning,COD,401.0,84.0,49.0,275.0,Delivered
BB531288,C115233,2025-11-07,110260.0,Home Cleaning,Prepaid,713.0,68.0,0.0,519.0,Delivered
BB535897,C102760,2025-04-09,110449.0,Skincare,COD,1307.0,238.0,0.0,556.0,Delivered
BB525661,C106542,2025-11-10,110575.0,Household Staples,COD,398.0,70.0,49.0,338.0,Delivered
BB515969,C100205,2025-10-16,110610.0,Skincare,Prepaid,933.0,81.0,0.0,374.0,Delivered
BB513611,C109209,2025-05-21,110645.0,Household Staples,COD,493.0,47.0,49.0,416.0,Delivered
BB508928,C108901,2026-03-07,110554.0,Home Cleaning,Prepaid,241.0,23.0,49.0,166.0,Delivered
BB512404,C100349,2025-09-20,110302.0,Haircare,Prepaid,372.0,62.0,49.0,166.0,Delivered
BB524336,C104518,2025-12-08,110057.0,Home Cleaning,COD,842.0,16.0,0.0,581.0,Delivered
