pincode,city,state,zone
110001,BENGALURU,Karnataka,Metro
110008,Bengaluru,Karnataka,Metro
110015,BENGALURU,Karnataka,Metro
110022,BENGALURU,Karnataka,Metro
110029,Bengaluru,Karnataka,Metro
110036,bengaluru,Karnataka,Metro
110043,Bengaluru,Karnataka,Metro
110050,Bengaluru,Karnataka,Metro
110057,bengaluru,Karnataka,Metro
110064,Bengaluru,Karnataka,Metro
110071,Bengaluru,Karnataka,Metro
110078,Bengaluru,Karnataka,Metro
110085,Bengaluru,Karnataka,Metro
110092,Bengaluru,Karnataka,Metro
110099,Mumbai,Maharashtra,Metro
110106,Mumbai,Maharashtra,Metro
110113,Mumbai,Maharashtra,Metro
110120,Mumbai,Maharashtra,Metro
110127,mumbai,Maharashtra,Metro
110134,Mumbai,Maharashtra,Metro
110141,mumbai,Maharashtra,Metro
110148,Mumbai,Maharashtra,Metro
110155,mumbai,Maharashtra,Metro
110162,MUMBAI,Maharashtra,Metro
110169,Mumbai,Maharashtra,Metro
110176,Mumbai,Maharashtra,Metro
110183,Mumbai,Maharashtra,Metro
110190,MUMBAI,Maharashtra,Metro
110197,Delhi,Delhi,Metro
110204,Delhi,Delhi,Metro
110211,delhi,Delhi,Metro
110218,Delhi,Delhi,Metro
110225,delhi,Delhi,Metro
110232,DELHI,Delhi,Metro
110239,Delhi,Delhi,Metro
110246,Delhi,Delhi,Metro
110253,Delhi,Delhi,Metro
110260,Delhi,Delhi,Metro
110267,Delhi,Delhi,Metro
110274,Delhi,Delhi,Metro
110281,HYDERABAD,Telangana,Metro
110288,Hyderabad,Telangana,Metro
110295,Hyderabad,Telangana,Metro
110302,hyderabad,Telangana,Metro
110309,Hyderabad,Telangana,Metro
110316,Hyderabad,Telangana,Metro
110323,Hyderabad,Telangana,Metro
110330,Hyderabad,Telangana,Metro
110337,HYDERABAD,Telangana,Metro
110344,hyderabad,Telangana,Metro
110351,Chennai,Tamil Nadu,Metro
110358,Chennai,Tamil Nadu,Metro
110365,Chennai,Tamil Nadu,Metro
110372,CHENNAI,Tamil Nadu,Metro
110379,Chennai,Tamil Nadu,Metro
110386,Chennai,Tamil Nadu,Metro
110393,Chennai,Tamil Nadu,Metro
110400,CHENNAI,Tamil Nadu,Metro
110407,Chennai,Tamil Nadu,Metro
110414,chennai,Tamil Nadu,Metro
110421,Pune,Maharashtra,Tier2
110428,PUNE,Maharashtra,Tier2
110435,pune,Maharashtra,Tier2
110442,Pune,Maharashtra,Tier2
110449,Pune,Maharashtra,Tier2
110456,Pune,Maharashtra,Tier2
110463,PUNE,Maharashtra,Tier2
110470,Pune,Maharashtra,Tier2
110477,jaipur,Rajasthan,Tier2
110484,Jaipur,Rajasthan,Tier2
110491,Jaipur,Rajasthan,Tier2
110498,jaipur,Rajasthan,Tier2
110505,Jaipur,Rajasthan,Tier2
110512,Jaipur,Rajasthan,Tier2
110519,Jaipur,Rajasthan,Tier2
110526,Lucknow,Uttar Pradesh,Tier2
110533,Lucknow,Uttar Pradesh,Tier2
110540,Lucknow,Uttar Pradesh,Tier2
110547,Lucknow,Uttar Pradesh,Tier2
110554,Lucknow,Uttar Pradesh,Tier2
110561,Lucknow,Uttar Pradesh,Tier2
110568,Lucknow,Uttar Pradesh,Tier2
110575,Kochi,Kerala,Tier2
110582,kochi,Kerala,Tier2
110589,Kochi,Kerala,Tier2
110596,KOCHI,Kerala,Tier2
110603,kochi,Kerala,Tier2
110610,Kochi,Kerala,Tier2
110617,INDORE,Madhya Pradesh,Tier2
110624,Indore,Madhya Pradesh,Tier2
110631,Indore,Madhya Pradesh,Tier2
110638,Indore,Madhya Pradesh,Tier2
110645,Indore,Madhya Pradesh,Tier2
110652,Indore,Madhya Pradesh,Tier2
110659,Guwahati,Assam,Tier3
110666,guwahati,Assam,Tier3
110673,GUWAHATI,Assam,Tier3
110680,Guwahati,Assam,Tier3
110687,Guwahati,Assam,Tier3
110694,Guwahati,Assam,Tier3
110701,Ranchi,Jharkhand,Tier3
110708,Ranchi,Jharkhand,Tier3
110715,ranchi,Jharkhand,Tier3
110722,Ranchi,Jharkhand,Tier3
110729,ranchi,Jharkhand,Tier3
110736,ranchi,Jharkhand,Tier3
110743,Siliguri,West Bengal,Tier3
110750,siliguri,West Bengal,Tier3
110757,Siliguri,West Bengal,Tier3
110764,Siliguri,West Bengal,Tier3
110771,Siliguri,West Bengal,Tier3
110778,Gorakhpur,Uttar Pradesh,Tier3
110785,GORAKHPUR,Uttar Pradesh,Tier3
110792,Gorakhpur,Uttar Pradesh,Tier3
110799,Gorakhpur,Uttar Pradesh,Tier3
110806,Gorakhpur,Uttar Pradesh,Tier3
110813,BHAGALPUR,Bihar,Tier3
110820,Bhagalpur,Bihar,Tier3
110827,Bhagalpur,Bihar,Tier3
110834,Bhagalpur,Bihar,Tier3
110841,Bhagalpur,Bihar,Tier3
